BrokerSymbol,NSESymbol,Expiry,Type,Strike,Right
COALINDIAFUTSTK(27Nov2014),COALINDIA,20141127,FUT,0,XX
COALINDIAOPTSTK/350.00/27Nov2014(PE),COALINDIA,20141127,OPT,350,PUT
COALINDIAOPTSTK/350.00/30Oct2014(PE),COALINDIA,20141030,OPT,350,PUT
DLFOPTSTK/120.00/30Oct2014(CE),DLF,20141030,OPT,120,CALL
IDEAOPTSTK/150.00/24Dec2014(CE),IDEA,20141224,OPT,150,CALL
INFYOPTSTK/3400.00/24Apr2014(CE),INFY,20140424,OPT,3400,CALL
JUBLFOODFUTSTK(27Nov2014),JUBLFOOD,20141127,FUT,0,XX
NIFTY FUTIDX (24 Dec 2014),NSENIFTY,20141224,FUT,0,XX
NIFTY FUTIDX (26 Jun 2014),NSENIFTY,20140626,FUT,0,XX
NIFTY FUTIDX (27 Nov 2014),NSENIFTY,20141127,FUT,0,XX
NIFTY FUTIDX (30 Oct 2014),NSENIFTY,20141030,FUT,0,XX
NIFTY OPTIDX/8400.00/24 Dec 2014 (CE),NSENIFTY,20141224,OPT,8400,CALL
NIFTY OPTIDX/8500.00/24 Dec 2014 (PE),NSENIFTY,20141224,OPT,8500,PUT
NIFTY OPTIDX/8600.00/24 Dec 2014 (CE),NSENIFTY,20141224,OPT,8600,CALL
NIFTYFUTIDX(23Apr2014),NSENIFTY,20140423,FUT,0,XX
NIFTYFUTIDX(24Apr2014),NSENIFTY,20140424,FUT,0,XX
NIFTYFUTIDX(24Dec2014),NSENIFTY,20141224,FUT,0,XX
NIFTYFUTIDX(25Sep2014),NSENIFTY,20140925,FUT,0,XX
NIFTYFUTIDX(26Feb2015),NSENIFTY,20140226,FUT,0,XX
NIFTYFUTIDX(26Jun2014),NSENIFTY,20140626,FUT,0,XX
NIFTYFUTIDX(26Mar2015),NSENIFTY,20150326,FUT,0,XX
NIFTYFUTIDX(27Nov2014),NSENIFTY,20141127,FUT,0,XX
NIFTYFUTIDX(29Jan2015),NSENIFTY,20150129,FUT,0,XX
NIFTYFUTIDX(29May2014),NSENIFTY,20140529,FUT,0,XX
NIFTYFUTIDX(30Oct2014),NSENIFTY,20141030,FUT,0,XX
NIFTYFUTIDX(31Jul2014),NSENIFTY,20140731,FUT,0,XX
NIFTYOPTIDX/6000.00/29May2014(PE),NSENIFTY,20140529,OPT,6000,PUT
NIFTYOPTIDX/6700.00/24Apr2014(PE),NSENIFTY,20140424,OPT,6700,PUT
NIFTYOPTIDX/6800.00/24Apr2014(CE),NSENIFTY,20140424,OPT,6800,CALL
NIFTYOPTIDX/6800.00/24Apr2014(PE),NSENIFTY,20140424,OPT,6800,PUT
NIFTYOPTIDX/6800.00/29May2014(CE),NSENIFTY,20140529,OPT,6800,CALL
NIFTYOPTIDX/6800.00/29May2014(PE),NSENIFTY,20140529,OPT,6800,PUT
NIFTYOPTIDX/7200.00/26Jun2014(PE),NSENIFTY,20140626,OPT,7200,PUT
NIFTYOPTIDX/7300.00/29May2014(CE),NSENIFTY,20140529,OPT,7300,CALL
NIFTYOPTIDX/7300.00/31Jul2014(PE),NSENIFTY,20140731,OPT,7300,PUT
NIFTYOPTIDX/7500.00/31Jul2014(PE),NSENIFTY,20140731,OPT,7500,PUT
NIFTYOPTIDX/7600.00/31Jul2014(CE),NSENIFTY,20140731,OPT,7600,CALL
NIFTYOPTIDX/7800.00/30Oct2014(PE),NSENIFTY,20141030,OPT,7800,PUT
NIFTYOPTIDX/7800.00/31Jul2014(CE),NSENIFTY,20140731,OPT,7800,CALL
NIFTYOPTIDX/8000.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8000,CALL
NIFTYOPTIDX/8000.00/25Sep2014(PE),NSENIFTY,20140925,OPT,8000,PUT
NIFTYOPTIDX/8000.00/30Oct2014(PE),NSENIFTY,20141030,OPT,8000,PUT
NIFTYOPTIDX/8100.00/29Jan2015(PE),NSENIFTY,20150129,OPT,8100,PUT
NIFTYOPTIDX/8200.00/29Jan2015(CE),NSENIFTY,20150129,OPT,8200,CALL
NIFTYOPTIDX/8300.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8300,PUT
NIFTYOPTIDX/8300.00/29Jan2015(PE),NSENIFTY,20150129,OPT,8300,PUT
NIFTYOPTIDX/8400.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8400,CALL
NIFTYOPTIDX/8400.00/29Jan2015(CE),NSENIFTY,20150129,OPT,8400,CALL
NIFTYOPTIDX/8400.00/29Jan2015(PE),NSENIFTY,20150129,OPT,8400,PUT
NIFTYOPTIDX/8500.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8500,CALL
NIFTYOPTIDX/8500.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8500,PUT
NIFTYOPTIDX/8500.00/27Nov2014(PE),NSENIFTY,20141127,OPT,8500,PUT
NIFTYOPTIDX/8500.00/29Jan2015(CE),NSENIFTY,20150129,OPT,8500,CALL
NIFTYOPTIDX/8600.00/24Dec2014(CE),NSENIFTY,20141224,OPT,8600,CALL
NIFTYOPTIDX/8600.00/24Dec2014(PE),NSENIFTY,20141224,OPT,8600,PUT
NIFTYOPTIDX/8600.00/26Feb2015(CE),NSENIFTY,20150226,OPT,8600,CALL
NIFTYOPTIDX/8600.00/26Mar2015(PE),NSENIFTY,20150326,OPT,8600,PUT
NIFTYOPTIDX/8600.00/30Apr2015(PE),NSENIFTY,20150430,OPT,8600,PUT
NIFTYOPTIDX/8700.00/26Mar2015(CE),NSENIFTY,20150326,OPT,8700,CALL
NIFTYOPTIDX/8700.00/26Mar2015(PE),NSENIFTY,20150326,OPT,8700,PUT
NIFTYOPTIDX/8700.00/29Jan2015(CE),NSENIFTY,20150129,OPT,8700,CALL
NIFTYOPTIDX/8800.00/26Feb2015(CE),NSENIFTY,20150226,OPT,8800,CALL
NIFTYOPTIDX/8900.00/26Feb2015(PE),NSENIFTY,20150226,OPT,8900,PUT
NIFTYOPTIDX/8900.00/26Mar2015(CE),NSENIFTY,20150326,OPT,8900,CALL
NIFTYOPTIDX/8900.00/26Mar2015(PE),NSENIFTY,20150326,OPT,8900,PUT
NIFTYOPTIDX/8900.00/29Jan2015(PE),NSENIFTY,20150129,OPT,8900,PUT
RELIANCEOPTSTK/1000.00/24Dec2014(CE),RELIANCE,20141224,OPT,1000,CALL
RELIANCEOPTSTK/1020.00/24Dec2014(CE),RELIANCE,20141224,OPT,1020,CALL
RELIANCEOPTSTK/940.00/24Dec2014(CE),RELIANCE,20141224,OPT,940,CALL
RELIANCEOPTSTK/960.00/24Dec2014(CE),RELIANCE,20141224,OPT,960,CALL
RELIANCEOPTSTK/980.00/24Dec2014(CE),RELIANCE,20141224,OPT,980,CALL
TATAMTRDVR OPTSTK/320.00/28 Aug 2014 (CE),TATAMTRDVR,20140828,OPT,320,CALL
TATAMTRDVROPTSTK/300.00/28Aug2014(CE),TATAMTRDVR,20140828,OPT,300,CALL
TATAMTRDVROPTSTK/320.00/28Aug2014(CE),TATAMTRDVR,20140828,OPT,320,CALL
TCSOPTSTK/2200.00/24Apr2014(CE),TCS,20140424,OPT,2200,CALL
